filename,x_offset,y_offset,width,height,augmentation,split
tile_00000.tif,0,0,256,256,none,train
tile_00000_flipH.tif,0,0,256,256,flipH,train
tile_00000_flipV.tif,0,0,256,256,flipV,train
tile_00000_rot90.tif,0,0,256,256,rot90,train
tile_00000_rot270.tif,0,0,256,256,rot270,train
tile_00000_noise.tif,0,0,256,256,noise,train
tile_00001.tif,225,0,256,256,none,train
tile_00001_flipH.tif,225,0,256,256,flipH,train
tile_00001_flipV.tif,225,0,256,256,flipV,train
tile_00001_rot90.tif,225,0,256,256,rot90,train
tile_00001_rot270.tif,225,0,256,256,rot270,train
tile_00001_noise.tif,225,0,256,256,noise,train
tile_00002.tif,450,0,256,256,none,train
tile_00002_flipH.tif,450,0,256,256,flipH,train
tile_00002_flipV.tif,450,0,256,256,flipV,train
tile_00002_rot90.tif,450,0,256,256,rot90,train
tile_00002_rot270.tif,450,0,256,256,rot270,train
tile_00002_noise.tif,450,0,256,256,noise,train
tile_00003.tif,675,0,256,256,none,val
tile_00003_flipH.tif,675,0,256,256,flipH,val
tile_00003_flipV.tif,675,0,256,256,flipV,val
tile_00003_rot90.tif,675,0,256,256,rot90,val
tile_00003_rot270.tif,675,0,256,256,rot270,val
tile_00003_noise.tif,675,0,256,256,noise,val
tile_00004.tif,900,0,256,256,none,test
tile_00004_flipH.tif,900,0,256,256,flipH,test
tile_00004_flipV.tif,900,0,256,256,flipV,test
tile_00004_rot90.tif,900,0,256,256,rot90,test
tile_00004_rot270.tif,900,0,256,256,rot270,test
tile_00004_noise.tif,900,0,256,256,noise,test
tile_00005.tif,1125,0,256,256,none,train
tile_00005_flipH.tif,1125,0,256,256,flipH,train
tile_00005_flipV.tif,1125,0,256,256,flipV,train
tile_00005_rot90.tif,1125,0,256,256,rot90,train
tile_00005_rot270.tif,1125,0,256,256,rot270,train
tile_00005_noise.tif,1125,0,256,256,noise,train
tile_00006.tif,1350,0,256,256,none,train
tile_00006_flipH.tif,1350,0,256,256,flipH,train
tile_00006_flipV.tif,1350,0,256,256,flipV,train
tile_00006_rot90.tif,1350,0,256,256,rot90,train
tile_00006_rot270.tif,1350,0,256,256,rot270,train
tile_00006_noise.tif,1350,0,256,256,noise,train
tile_00007.tif,0,225,256,256,none,train
tile_00007_flipH.tif,0,225,256,256,flipH,train
tile_00007_flipV.tif,0,225,256,256,flipV,train
tile_00007_rot90.tif,0,225,256,256,rot90,train
tile_00007_rot270.tif,0,225,256,256,rot270,train
tile_00007_noise.tif,0,225,256,256,noise,train
tile_00008.tif,225,225,256,256,none,train
tile_00008_flipH.tif,225,225,256,256,flipH,train
tile_00008_flipV.tif,225,225,256,256,flipV,train
tile_00008_rot90.tif,225,225,256,256,rot90,train
tile_00008_rot270.tif,225,225,256,256,rot270,train
tile_00008_noise.tif,225,225,256,256,noise,train
tile_00009.tif,450,225,256,256,none,test
tile_00009_flipH.tif,450,225,256,256,flipH,test
tile_00009_flipV.tif,450,225,256,256,flipV,test
tile_00009_rot90.tif,450,225,256,256,rot90,test
tile_00009_rot270.tif,450,225,256,256,rot270,test
tile_00009_noise.tif,450,225,256,256,noise,test
tile_00010.tif,675,225,256,256,none,train
tile_00010_flipH.tif,675,225,256,256,flipH,train
tile_00010_flipV.tif,675,225,256,256,flipV,train
tile_00010_rot90.tif,675,225,256,256,rot90,train
tile_00010_rot270.tif,675,225,256,256,rot270,train
tile_00010_noise.tif,675,225,256,256,noise,train
tile_00011.tif,900,225,256,256,none,train
tile_00011_flipH.tif,900,225,256,256,flipH,train
tile_00011_flipV.tif,900,225,256,256,flipV,train
tile_00011_rot90.tif,900,225,256,256,rot90,train
tile_00011_rot270.tif,900,225,256,256,rot270,train
tile_00011_noise.tif,900,225,256,256,noise,train
tile_00012.tif,1125,225,256,256,none,val
tile_00012_flipH.tif,1125,225,256,256,flipH,val
tile_00012_flipV.tif,1125,225,256,256,flipV,val
tile_00012_rot90.tif,1125,225,256,256,rot90,val
tile_00012_rot270.tif,1125,225,256,256,rot270,val
tile_00012_noise.tif,1125,225,256,256,noise,val
tile_00013.tif,1350,225,256,256,none,train
tile_00013_flipH.tif,1350,225,256,256,flipH,train
tile_00013_flipV.tif,1350,225,256,256,flipV,train
tile_00013_rot90.tif,1350,225,256,256,rot90,train
tile_00013_rot270.tif,1350,225,256,256,rot270,train
tile_00013_noise.tif,1350,225,256,256,noise,train
tile_00014.tif,0,450,256,256,none,train
tile_00014_flipH.tif,0,450,256,256,flipH,train
tile_00014_flipV.tif,0,450,256,256,flipV,train
tile_00014_rot90.tif,0,450,256,256,rot90,train
tile_00014_rot270.tif,0,450,256,256,rot270,train
tile_00014_noise.tif,0,450,256,256,noise,train
tile_00015.tif,225,450,256,256,none,train
tile_00015_flipH.tif,225,450,256,256,flipH,train
tile_00015_flipV.tif,225,450,256,256,flipV,train
tile_00015_rot90.tif,225,450,256,256,rot90,train
tile_00015_rot270.tif,225,450,256,256,rot270,train
tile_00015_noise.tif,225,450,256,256,noise,train
tile_00016.tif,450,450,256,256,none,train
tile_00016_flipH.tif,450,450,256,256,flipH,train
tile_00016_flipV.tif,450,450,256,256,flipV,train
tile_00016_rot90.tif,450,450,256,256,rot90,train
tile_00016_rot270.tif,450,450,256,256,rot270,train
tile_00016_noise.tif,450,450,256,256,noise,train
tile_00017.tif,675,450,256,256,none,train
tile_00017_flipH.tif,675,450,256,256,flipH,train
tile_00017_flipV.tif,675,450,256,256,flipV,train
tile_00017_rot90.tif,675,450,256,256,rot90,train
tile_00017_rot270.tif,675,450,256,256,rot270,train
tile_00017_noise.tif,675,450,256,256,noise,train
tile_00018.tif,900,450,256,256,none,train
tile_00018_flipH.tif,900,450,256,256,flipH,train
tile_00018_flipV.tif,900,450,256,256,flipV,train
tile_00018_rot90.tif,900,450,256,256,rot90,train
tile_00018_rot270.tif,900,450,256,256,rot270,train
tile_00018_noise.tif,900,450,256,256,noise,train
tile_00019.tif,1125,450,256,256,none,train
tile_00019_flipH.tif,1125,450,256,256,flipH,train
tile_00019_flipV.tif,1125,450,256,256,flipV,train
tile_00019_rot90.tif,1125,450,256,256,rot90,train
tile_00019_rot270.tif,1125,450,256,256,rot270,train
tile_00019_noise.tif,1125,450,256,256,noise,train
tile_00020.tif,1350,450,256,256,none,train
tile_00020_flipH.tif,1350,450,256,256,flipH,train
tile_00020_flipV.tif,1350,450,256,256,flipV,train
tile_00020_rot90.tif,1350,450,256,256,rot90,train
tile_00020_rot270.tif,1350,450,256,256,rot270,train
tile_00020_noise.tif,1350,450,256,256,noise,train
tile_00021.tif,0,675,256,256,none,train
tile_00021_flipH.tif,0,675,256,256,flipH,train
tile_00021_flipV.tif,0,675,256,256,flipV,train
tile_00021_rot90.tif,0,675,256,256,rot90,train
tile_00021_rot270.tif,0,675,256,256,rot270,train
tile_00021_noise.tif,0,675,256,256,noise,train
tile_00022.tif,225,675,256,256,none,train
tile_00022_flipH.tif,225,675,256,256,flipH,train
tile_00022_flipV.tif,225,675,256,256,flipV,train
tile_00022_rot90.tif,225,675,256,256,rot90,train
tile_00022_rot270.tif,225,675,256,256,rot270,train
tile_00022_noise.tif,225,675,256,256,noise,train
tile_00023.tif,450,675,256,256,none,train
tile_00023_flipH.tif,450,675,256,256,flipH,train
tile_00023_flipV.tif,450,675,256,256,flipV,train
tile_00023_rot90.tif,450,675,256,256,rot90,train
tile_00023_rot270.tif,450,675,256,256,rot270,train
tile_00023_noise.tif,450,675,256,256,noise,train
tile_00024.tif,675,675,256,256,none,train
tile_00024_flipH.tif,675,675,256,256,flipH,train
tile_00024_flipV.tif,675,675,256,256,flipV,train
tile_00024_rot90.tif,675,675,256,256,rot90,train
tile_00024_rot270.tif,675,675,256,256,rot270,train
tile_00024_noise.tif,675,675,256,256,noise,train
tile_00025.tif,900,675,256,256,none,test
tile_00025_flipH.tif,900,675,256,256,flipH,test
tile_00025_flipV.tif,900,675,256,256,flipV,test
tile_00025_rot90.tif,900,675,256,256,rot90,test
tile_00025_rot270.tif,900,675,256,256,rot270,test
tile_00025_noise.tif,900,675,256,256,noise,test
tile_00026.tif,1125,675,256,256,none,train
tile_00026_flipH.tif,1125,675,256,256,flipH,train
tile_00026_flipV.tif,1125,675,256,256,flipV,train
