class_id,class_name,model,split,threshold,n,n_pos,pos_frac,acc,prec,rec,f1,iou,auc,features,n_train_balanced,pos_frac_train
10,tree_cover,LogReg,test,0.5629,151552,27700,0.1828,0.8303,0.5242,0.7760,0.6257,0.4553,0.8784,"Sentinel-2_B02,Sentinel-2_B03,Sentinel-2_B04,Sentinel-2_B08,Sentinel-1_VV,Sentinel-1_VH",839680,0.2620
10,tree_cover,LogReg,val,0.5629,200704,55095,0.2745,0.8138,0.6401,0.7347,0.6841,0.5199,0.8720,"Sentinel-2_B02,Sentinel-2_B03,Sentinel-2_B04,Sentinel-2_B08,Sentinel-1_VV,Sentinel-1_VH",839680,0.2620
10,tree_cover,RF,test,0.5626,151552,27700,0.1828,0.8807,0.6411,0.7892,0.7074,0.5473,0.9324,"Sentinel-2_B02,Sentinel-2_B03,Sentinel-2_B04,Sentinel-2_B08,Sentinel-1_VV,Sentinel-1_VH",839680,0.2620
10,tree_cover,RF,val,0.5626,200704,55095,0.2745,0.8497,0.6982,0.7973,0.7445,0.5929,0.9209,"Sentinel-2_B02,Sentinel-2_B03,Sentinel-2_B04,Sentinel-2_B08,Sentinel-1_VV,Sentinel-1_VH",839680,0.2620
10,tree_cover,XGB,test,0.6018,151552,27700,0.1828,0.8830,0.6489,0.7839,0.7101,0.5505,0.9330,"Sentinel-2_B02,Sentinel-2_B03,Sentinel-2_B04,Sentinel-2_B08,Sentinel-1_VV,Sentinel-1_VH",839680,0.2620
10,tree_cover,XGB,val,0.6018,200704,55095,0.2745,0.8532,0.7075,0.7930,0.7478,0.5972,0.9229,"Sentinel-2_B02,Sentinel-2_B03,Sentinel-2_B04,Sentinel-2_B08,Sentinel-1_VV,Sentinel-1_VH",839680,0.2620
10,tree_cover,U-Net,test,0.4579,151552,27700,0.1828,0.9057,0.7079,0.8243,0.7617,0.6151,0.9495,"Sentinel-2_B02,Sentinel-2_B03,Sentinel-2_B04,Sentinel-2_B08,Sentinel-1_VV,Sentinel-1_VH",210,0.2620
10,tree_cover,U-Net,val,0.4579,200704,55095,0.2745,0.8766,0.7388,0.8514,0.7911,0.6544,0.9438,"Sentinel-2_B02,Sentinel-2_B03,Sentinel-2_B04,Sentinel-2_B08,Sentinel-1_VV,Sentinel-1_VH",210,0.2620
30,grassland,LogReg,test,0.6664,151552,16271,0.1074,0.8570,0.3964,0.6352,0.4882,0.3229,0.8561,"Sentinel-2_B02,Sentinel-2_B03,Sentinel-2_B04,Sentinel-2_B08,Sentinel-1_VV,Sentinel-1_VH",391680,0.1667
30,grassland,LogReg,val,0.6664,200704,17415,0.0868,0.8390,0.2873,0.5779,0.3838,0.2375,0.8131,"Sentinel-2_B02,Sentinel-2_B03,Sentinel-2_B04,Sentinel-2_B08,Sentinel-1_VV,Sentinel-1_VH",391680,0.1667
